occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
7722;Accoucheuse;obstetrician (fem.);BEL;FR;0;BE;fr;1;0;0;1;0;7310;;LNP
7723;Agricultrice;agriculturist (fem.);BEL;FR;0;BE;fr;2;0;0;2;0;61110;;LNP
7724;Ardoisière;slate quarry worker;BEL;FR;0;BE;fr;3;0;0;2;0;71110;95320;LNP
7725;Ardoisière;slate quarry worker;BEL;FR;0;BE;fr;4;0;0;2;0;95320;71110;LNP
7726;Artisane;artisan (fem.);BEL;FR;0;BE;fr;5;24;0;2;0;-1;;LNP
7727;Aubergiste;inn keeper (fem.);BEL;FR;0;BE;fr;6;0;0;2;0;51020;;LNP
7728;Balayeuse;sweeper (fem.);BEL;FR;0;BE;fr;7;0;0;1;0;99910;;LNP
7729;Blanchisseuse;female bleacher;BEL;FR;0;BE;fr;8;0;0;2;0;56010;75615;LNP
7730;Blanchisseuse;female bleacher;BEL;FR;0;BE;fr;9;0;0;2;0;75615;56010;LNP
7731;Bobineuse;bobbin-worker (fem.);BEL;FR;0;BE;fr;10;0;0;2;0;85345;75250;LNP
7732;Bobineuse;bobbin-worker (fem.);BEL;FR;0;BE;fr;11;0;0;2;0;75250;85345;LNP
7733;Bonnetière;dealer in woven and knitted goods (fem.);BEL;FR;0;BE;fr;12;0;0;2;0;75500;;LNP
7734;Boucher;butcher;BEL;FR;0;BE;fr;13;0;0;3;0;77310;;LNP
7735;Bouchère;butcher's woman;BEL;FR;0;BE;fr;14;0;0;2;0;77310;;LNP
7736;Boudineuse de coton;female cotton press worker;BEL;FR;0;BE;fr;15;0;0;2;0;75240;;LNP
7737;Boulangère;baker (fem.);BEL;FR;0;BE;fr;16;0;0;2;0;77620;;LNP
7738;Boutiquière;grocer (fem.);BEL;FR;0;BE;fr;17;0;0;2;20;41030;;LNP
7739;Boutonnière;button-maker (fem.);BEL;FR;0;BE;fr;18;0;0;1;0;94990;;LNP
7740;Brandevinière;brandy maker (fem.);BEL;FR;0;BE;fr;19;0;0;2;0;74490;;LNP
7741;Brodeuse;embrodery worker;BEL;FR;0;BE;fr;20;0;0;1;0;79565;;LNP
7742;Buandière;washerwoman;BEL;FR;0;BE;fr;21;0;0;2;0;56010;;LNP
7743;Cabaretière;;BEL;FR;0;BE;fr;22;0;0;2;0;51050;;LNP
7744;Cafetière;café proprietor (vr.);BEL;FR;0;BE;fr;23;0;0;2;0;51050;;LNP
7745;Cantinière;canteen proprietor;BEL;FR;0;BE;fr;24;0;0;1;0;51090;;LNP
7746;Cardeuse (de laine/lin);female card worker (wool and flax);BEL;FR;0;BE;fr;25;0;0;3;0;75135;;LNP
7747;Cardeuse de laine;;BEL;FR;0;BE;fr;26;0;0;1;0;75135;;LNP
7748;Cardeuse de lin;;BEL;FR;0;BE;fr;27;0;0;2;0;75135;;LNP
7749;Casquetière;cap maker (fem.);BEL;FR;0;BE;fr;28;0;0;2;0;79390;;LNP
7750;Chanteuse;singer (fem.);BEL;FR;0;BE;fr;29;0;0;2;0;17145;;LNP
7751;Charbonnière;coal dealer (fem.);BEL;FR;0;BE;fr;30;0;0;2;11;41025;;LNP
7752;Charcutière;pork-butcher's woman;BEL;FR;0;BE;fr;31;0;0;2;0;77390;;LNP
7753;Charpentière;carpenter (fem.);BEL;FR;0;BE;fr;32;0;0;2;0;95410;;LNP
7754;Charretière;coachman;BEL;FR;0;BE;fr;33;0;0;2;0;98620;;LNP
7755;Chemisière;shirt-chemise-maker (fem.);BEL;FR;0;BE;fr;34;0;0;1;0;79190;;LNP
7756;Chimiste;chemist (fem.);BEL;FR;0;BE;fr;35;0;0;1;0;1110;;LNP
7757;Cigarière;cigar maker (fem.);BEL;FR;0;BE;fr;36;0;0;2;0;78200;;LNP
7758;Coiffeuse;hair dresser (fem.);BEL;FR;0;BE;fr;37;0;0;2;0;57025;;LNP
7759;Colporteuse;hawker (fem.);BEL;FR;0;BE;fr;38;0;0;2;0;45220;;LNP
7760;Colporteuse ambulant;itinerant hawker (fem.);BEL;FR;0;BE;fr;39;0;0;2;0;45220;;LNP
7761;Colporteuse de poisson;fish hawker (fem.);BEL;FR;0;BE;fr;40;0;0;2;21;45220;;LNP
7762;Commissionnaire;commissioner;BEL;FR;0;BE;fr;41;0;0;3;0;43230;;LNP
7763;Cordonnière;shoe-maker (fem.);BEL;FR;0;BE;fr;42;0;0;2;0;80110;;LNP
7764;Corsetière;corset-maker;BEL;FR;0;BE;fr;43;0;0;1;0;79190;;LNP
7765;Corsettière;corset-maker (fem.);BEL;FR;0;BE;fr;44;0;0;3;0;79190;;LNP
7766;Couturière;(female) couturier;BEL;FR;0;BE;fr;45;0;0;2;0;79140;;LNP
7767;Couvreuse de paille;straw-thatcher;BEL;FR;0;BE;fr;46;0;0;1;0;95360;;LNP
7768;Cuisinière;cook (fem.);BEL;FR;0;BE;fr;47;0;0;2;0;53100;;LNP
7769;Cultivateur;agriculturist;BEL;FR;0;BE;fr;48;0;0;3;0;61110;;LNP
7770;Cultivatrice;agriculturist (fem.);BEL;FR;0;BE;fr;49;0;0;2;0;61110;;LNP
7771;Dactylographe;typist;BEL;FR;0;BE;fr;50;0;0;3;0;32140;;LNP
7772;Débitant;retailer;BEL;FR;0;BE;fr;51;0;0;1;0;41030;51050;LNP
7773;Débitant;retailer;BEL;FR;0;BE;fr;52;0;0;1;0;51050;41030;LNP
7774;Débitant de bière;;BEL;FR;0;BE;fr;53;0;0;2;24;41030;51050;LNP
7775;Débitant de bière;;BEL;FR;0;BE;fr;54;0;0;2;24;41030;51050;LNP
7776;Débitant de bière;;BEL;FR;0;BE;fr;55;0;0;2;0;51050;41030;LNP
7777;Débitant de bière;;BEL;FR;0;BE;fr;56;0;0;2;0;51050;41030;LNP
7778;Débitant de boisson;beverage dealer;BEL;FR;0;BE;fr;57;0;0;2;24;41030;51050;LNP
7779;Débitant de boisson;beverage dealer;BEL;FR;0;BE;fr;58;0;0;2;0;51050;41030;LNP
7780;Débitant de poisson;fish retailer;BEL;FR;0;BE;fr;59;0;0;2;21;41030;;LNP
7781;Débitant de tabac;tobacco retailler;BEL;FR;0;BE;fr;60;0;0;2;25;41030;;LNP
7782;Débitant de viande;meat retailer;BEL;FR;0;BE;fr;61;0;0;2;21;41030;;LNP
7783;Débitant d'eau de vie;eau de vie merchant;BEL;FR;0;BE;fr;62;0;0;2;24;41030;51050;LNP
7784;Débitant d'eau de vie;eau de vie merchant;BEL;FR;0;BE;fr;63;0;0;2;24;41030;41030;LNP
7785;Débitant/détaillant;retailer;BEL;FR;0;BE;fr;64;0;0;3;0;41030;;LNP
7786;Débitant/détaillant de bièrre;beer retailer;BEL;FR;0;BE;fr;65;0;0;3;24;41030;;LNP
7787;Débitant/détaillant de boisson;beverage dealer;BEL;FR;0;BE;fr;66;0;0;3;24;41030;;LNP
7788;Débitant/détaillant de poisson;fish retailer;BEL;FR;0;BE;fr;67;0;0;3;21;41030;;LNP
7789;Débitant/détaillant de tabac;tobacco retailler;BEL;FR;0;BE;fr;68;0;0;3;25;41030;;LNP
7790;Débitant/détaillant de viande;meat retailer;BEL;FR;0;BE;fr;69;0;0;3;21;41030;;LNP
7791;Débitant/détaillant d'eau de vie;eau de vie merchant;BEL;FR;0;BE;fr;70;0;0;3;24;41030;;LNP
7792;Demoiselle de magasin;shop-girl;BEL;FR;0;BE;fr;71;0;0;1;0;45130;;LNP
7793;Dentèlliere;lace-maker;BEL;FR;0;BE;fr;72;0;0;1;0;75452;;LNP
7794;Détaillant;retailer;BEL;FR;0;BE;fr;73;0;0;1;0;41030;;LNP
7795;Détaillant de boisson;beverage dealer;BEL;FR;0;BE;fr;74;0;0;2;24;41030;;LNP
7796;Détaillant de poisson;fish retailer;BEL;FR;0;BE;fr;75;0;0;2;21;41030;;LNP
7797;Détaillant de tabac;tobacco retailler;BEL;FR;0;BE;fr;76;0;0;2;25;41030;;LNP
7798;Détaillant de viande;meat retailer;BEL;FR;0;BE;fr;77;0;0;2;21;41030;;LNP
7799;Détaillant d'eau de vie;eau de vie merchant;BEL;FR;0;BE;fr;78;0;0;2;24;41030;;LNP
7800;Domestique;domestic servant;BEL;FR;0;BE;fr;79;0;0;1;0;54010;;LNP
7801;Ecuyer de cirque;rinding master in circus;BEL;FR;0;BE;fr;80;0;0;1;0;17590;;LNP
7802;Emballeuse;packer (fem.);BEL;FR;0;BE;fr;81;0;0;2;0;97152;;LNP
7803;Employé;employee;BEL;FR;0;BE;fr;82;0;0;1;0;-1;;LNP
7804;Epicière;grocer (fem.);BEL;FR;0;BE;fr;83;0;0;2;20;41030;;LNP
7805;Fabricante;manufacturer;BEL;FR;0;BE;fr;84;11;0;2;0;21110;99999;LNP
7806;Fabricante;manufacturer;BEL;FR;0;BE;fr;85;0;0;2;0;99999;21110 (status 11);LNP
7807;Fabricante de lin;linen manufacturer (fem.);BEL;FR;0;BE;fr;86;11;0;2;26;21110;75000;LNP
7808;Fabricante de lin;linen manufacturer (fem.);BEL;FR;0;BE;fr;87;0;0;2;0;75000;21110 (status 11, product 26);LNP
7809;Fabricante de tabac;tobacco manufacturer;BEL;FR;0;BE;fr;88;11;0;2;25;21110;78100;LNP
7810;Fabricante de tabac;tobacco manufacturer;BEL;FR;0;BE;fr;89;0;0;2;0;78100;21110 (status 11, product 25);LNP
7811;Facteuse;postman (fem.);BEL;FR;0;BE;fr;90;0;0;2;0;37030;;LNP
7812;Faiseuse d'allumettes soufrées;matches maker (fem.);BEL;FR;0;BE;fr;91;0;0;2;0;94990;;LNP
7813;Faiseuse de bonnets;bonnet maker (female);BEL;FR;0;BE;fr;92;0;0;2;0;79320;;LNP
7814;Faiseuse de boutons;button-maker (fem.);BEL;FR;0;BE;fr;93;0;0;1;0;94990;;LNP
7815;Faiseuse de corsets;corset-maker (fem.);BEL;FR;0;BE;fr;94;0;0;1;0;79190;;LNP
7816;Faiseuse de dentelles;lace-maker (fem.);BEL;FR;0;BE;fr;95;0;0;1;0;75452;;LNP
7817;Faiseuse de farine;flower (meal) maker (fem.);BEL;FR;0;BE;fr;96;0;0;1;0;77120;;LNP
7818;Faiseuse de fleurs;?;BEL;FR;0;BE;fr;97;0;0;1;0;79990;;LNP
7819;Faiseuse de lacet;shoe-lacemaker (fem.);BEL;FR;0;BE;fr;98;0;0;2;0;75452;;LNP
7820;Faiseuse de meubles;cabinet-maker (fem.);BEL;FR;0;BE;fr;99;0;0;2;0;81120;;LNP
7821;Faiseuse de passements;shoe-lacemaker (fem.);BEL;FR;0;BE;fr;100;0;0;1;0;75452;;LNP
7822;Faiseuse de plumes;pen-maker (fem.);BEL;FR;0;BE;fr;101;0;0;1;0;94990;;LNP
7823;Farinière;flower (meal) maker (fem.);BEL;FR;0;BE;fr;102;0;0;2;0;77120;;LNP
7824;Femme de chambre;chambermaid;BEL;FR;0;BE;fr;103;0;0;1;0;54030;54050;LNP
7825;Femme de chambre;chambermaid;BEL;FR;0;BE;fr;104;0;0;1;0;54050;54030;LNP
7826;Femme/fille de chambre;chambermaid;BEL;FR;0;BE;fr;105;0;0;3;0;54030;;LNP
7827;Fileuse;female spinner;BEL;FR;0;BE;fr;106;0;0;2;0;75220;;LNP
7828;Fileuse de coton;female coton spinner;BEL;FR;0;BE;fr;107;0;0;2;0;75220;;LNP
7829;Fileuse de laine;female wool spinner;BEL;FR;0;BE;fr;108;0;0;2;0;75220;;LNP
7830;Fille boucher;female assistant of a butcher;BEL;FR;0;BE;fr;109;0;13;2;0;77310;;LNP
7831;Fille boutiquer;shop-girl;BEL;FR;0;BE;fr;110;0;13;2;0;41030;;LNP
7832;Fille boutiquier;shop-girl;BEL;FR;0;BE;fr;111;0;13;2;0;41030;;LNP
7833;Fille cabaretier;;BEL;FR;0;BE;fr;112;0;13;2;0;51050;;LNP
7834;Fille cultivateur;female assistant of an agriculturist;BEL;FR;0;BE;fr;113;0;13;2;0;61110;;LNP
7835;Fille de boutique;;BEL;FR;0;BE;fr;114;0;0;1;0;45130;;LNP
7836;Fille de boutique/magasin;shop-girl;BEL;FR;0;BE;fr;115;0;0;3;0;45130;;LNP
7837;Fille de chambre;chambermaid;BEL;FR;0;BE;fr;116;0;0;1;0;54030;54050;LNP
7838;Fille de chambre;chambermaid;BEL;FR;0;BE;fr;117;0;0;1;0;54050;54030;LNP
7839;Fille de magasin;;BEL;FR;0;BE;fr;118;0;0;1;0;45130;;LNP
7840;Fille fripière;helper (fem.) of a second hand dealer in old clothes;BEL;FR;0;BE;fr;119;0;13;2;0;41030;;LNP
7841;Fille retordeur;assistant-twiner (fem.);BEL;FR;0;BE;fr;120;0;13;2;0;75240;;LNP
7842;Fleuriste;florist (fem.);BEL;FR;0;BE;fr;121;0;0;2;1;41030;61270;LNP
7843;Fleuriste;florist (fem.);BEL;FR;0;BE;fr;122;0;0;2;1;61270;41030;LNP
7844;Foraine;fair-pedlar (fem.);BEL;FR;0;BE;fr;123;0;0;1;0;45220;;LNP
7845;Fripière;second hand dealer in old clothes (fem.);BEL;FR;0;BE;fr;124;0;0;2;27;41030;;LNP
7846;Fruitière;fruit seller (fem.);BEL;FR;0;BE;fr;125;0;0;2;1;41030;;LNP
7847;Gantière;glove maker (fem.);BEL;FR;0;BE;fr;126;0;0;2;0;79475;;LNP
7848;Garde barrière au chemin de fer;level crossing guard (fem.);BEL;FR;0;BE;fr;127;0;0;3;0;98990;;LNP
7849;Garde couches;bed guard (fem.);BEL;FR;0;BE;fr;128;0;0;1;0;59990;;LNP
7850;Garnisseuse;upholsterer (fem.);BEL;FR;0;BE;fr;129;0;0;3;0;99999;;LNP
7851;Garnisseuse bottines;upholsterer of boots (fem.);BEL;FR;0;BE;fr;130;0;0;1;0;80290;;LNP
7852;Gérante;manager;BEL;FR;0;BE;fr;131;0;0;2;0;21110;;LNP
7853;Gouvernante;nanny-governess;BEL;FR;0;BE;fr;132;0;0;1;0;13960;22430;LNP
7854;Gouvernante;nanny-governess;BEL;FR;0;BE;fr;133;0;0;1;0;22430;13960;LNP
7855;Graissière;?;BEL;FR;0;BE;fr;134;0;0;3;0;99999;;LNP
7856;Institutrice;teacher;BEL;FR;0;BE;fr;135;0;0;2;0;13320;;LNP
7857;Institutrice communal;municipal teacher;BEL;FR;0;BE;fr;136;0;0;2;0;13320;;LNP
7858;Jardinier;gardener;BEL;FR;0;BE;fr;137;0;0;3;0;61270;62700;LNP
7859;Jardinier;gardener;BEL;FR;0;BE;fr;138;0;0;3;0;62700;61270;LNP
7860;Jardinière;female gardener;BEL;FR;0;BE;fr;139;0;0;2;0;61270;62700;LNP
7861;Jardinière;female gardener;BEL;FR;0;BE;fr;140;0;0;2;0;62700;61270;LNP
7862;Journalière;day labourer (fem.);BEL;FR;0;BE;fr;141;0;0;2;0;99920;;LNP
7863;Labouratrice;agriculturalist - plougher (fem.);BEL;FR;0;BE;fr;142;0;0;2;0;61220;;LNP
7864;Laitière;milkwoman;BEL;FR;0;BE;fr;143;0;0;2;2;45230;;LNP
7865;Lavandière;washerwoman;BEL;FR;0;BE;fr;144;0;0;1;0;56010;;LNP
7866;Lavandière de dentelles;washer of lace-work;BEL;FR;0;BE;fr;145;0;0;1;0;56090;;LNP
7867;Lingère;linen-stitcher (fem.);BEL;FR;0;BE;fr;146;0;0;1;0;56010;79590;LNP
7868;Lingère;linen-stitcher (fem.);BEL;FR;0;BE;fr;147;0;0;1;0;79590;56010;LNP
7869;Liquoriste;distiller of liquor;BEL;FR;0;BE;fr;148;0;0;3;0;74490;;LNP
7870;Loueuse de voitures;hirer out of wagons (fem.);BEL;FR;0;BE;fr;149;0;0;2;49;41040;;LNP
7871;Maître épicière;fem. grocer (master);BEL;FR;0;BE;fr;150;0;0;1;0;21340;;LNP
7872;Maître liquoriste;master distiller of liquor;BEL;FR;0;BE;fr;151;21;0;2;0;74490;;LNP
7873;Maîtresse d'école;school teacher (fem.);BEL;FR;0;BE;fr;152;0;0;2;0;13320;;LNP
7874;Manipulatrice de bois;wood-worker (fem.);BEL;FR;0;BE;fr;153;0;0;1;0;81000;;LNP
7875;Manipulatrice de coton;female coton worker;BEL;FR;0;BE;fr;154;0;0;2;0;75000;;LNP
7876;Manipulatrice de lacet;shoe-lacemaker (fem.);BEL;FR;0;BE;fr;155;0;0;2;0;75452;;LNP
7877;Manipulatrice de peaux;female skin-worker;BEL;FR;0;BE;fr;156;0;0;2;0;76200;;LNP
7878;Manipulatrice de soie;female silk worker;BEL;FR;0;BE;fr;157;0;0;2;0;75000;;LNP
7879;Manipulatrice de tabac;tobacco worker (fem.);BEL;FR;0;BE;fr;158;0;0;2;0;78100;;LNP
7880;Manutentionnaire;?;BEL;FR;0;BE;fr;159;0;0;1;0;97145;;LNP
7881;Marchande;merchant (fem.);BEL;FR;0;BE;fr;160;0;0;2;0;41025;;LNP
7882;Marchande à la glace;merchant (fem.);BEL;FR;0;BE;fr;161;0;0;2;38;41025;;LNP
7883;Marchande ambulante;merchant traveller (fem.);BEL;FR;0;BE;fr;162;0;0;2;0;45220;;LNP
7884;Marchande colporteur;merchant (fem.) hawker;BEL;FR;0;BE;fr;163;0;0;2;0;45220;;LNP
7885;Marchande de beurre;butter merchant (fem.);BEL;FR;0;BE;fr;164;0;0;2;22;41025;;LNP
7886;Marchande de bieres;beer merchant (fem.);BEL;FR;0;BE;fr;165;0;0;2;24;41025;;LNP
7887;Marchande de bois;wood merchant (fem.);BEL;FR;0;BE;fr;166;0;0;2;31;41025;;LNP
7888;Marchande de chaudrons;cauldron merchant (fem.);BEL;FR;0;BE;fr;167;0;0;2;44;41025;;LNP
7889;Marchande de coton;coton merchant (fem.);BEL;FR;0;BE;fr;168;0;0;2;26;41025;;LNP
7890;Marchande de dentelles;lace-work merchant (fem.);BEL;FR;0;BE;fr;169;0;0;2;26;41025;;LNP
7891;Marchande de draps;cloth merchant (fem.);BEL;FR;0;BE;fr;170;0;0;2;26;41025;;LNP
7892;Marchande de journaux;newspapers merchant (fem.);BEL;FR;0;BE;fr;171;0;0;2;32;41025;;LNP
7893;Marchande de légumes;vegetables merchant (fem.);BEL;FR;0;BE;fr;172;0;0;2;1;41025;;LNP
7894;Marchande de lin;;BEL;FR;0;BE;fr;173;0;0;2;26;41025;;LNP
7895;Marchande de lin/lingère;flax and linen merchant (fem.);BEL;FR;0;BE;fr;174;0;0;3;26;41025;;LNP
7896;Marchande de lingère;;BEL;FR;0;BE;fr;175;0;0;2;26;41025;;LNP
7897;Marchande de liqueur;liqour merchant (fem.);BEL;FR;0;BE;fr;176;0;0;2;24;41025;;LNP
7898;Marchande de modes;fancy-articles merchant (fem.);BEL;FR;0;BE;fr;177;0;0;2;20;41025;;LNP
7899;Marchande de nouveauté;novelties merchant (fem.);BEL;FR;0;BE;fr;178;0;0;2;99;41025;;LNP
7900;Marchande de parapluies;umbrella merchant (fem.);BEL;FR;0;BE;fr;179;0;0;2;38;41025;;LNP
7901;Marchande de poisson;fish merchant;BEL;FR;0;BE;fr;180;0;0;2;21;41025;;LNP
7902;Marchande de porcelaine;porcelain merchant (fem.);BEL;FR;0;BE;fr;181;0;0;2;37;41025;;LNP
7903;Marchande d'houille;coal merchant (fem.);BEL;FR;0;BE;fr;182;0;0;2;11;41025;;LNP
7904;Marchande fruitier;fruit merchant (fem.);BEL;FR;0;BE;fr;183;0;0;2;1;41025;;LNP
7905;Menagère;housekeeper;BEL;FR;0;BE;fr;184;0;0;1;0;-1;54020;LNP
7906;Menagère;housekeeper;BEL;FR;0;BE;fr;185;0;0;1;0;54020;-1;LNP
7907;Menuisière;carpenter (fem.);BEL;FR;0;BE;fr;186;0;0;2;0;95410;;LNP
7908;Mercière;pedlar (fem.);BEL;FR;0;BE;fr;187;0;0;2;0;41030;45220;LNP
7909;Mercière;pedlar (fem.);BEL;FR;0;BE;fr;188;0;0;2;0;45220;41030;LNP
7910;Modiste;modiste;BEL;FR;0;BE;fr;189;0;0;1;0;79320;;LNP
7911;Musicienne;musician (fem.);BEL;FR;0;BE;fr;190;0;0;2;0;17140;;LNP
7912;Musicienne ambulant;itinerant musician (fem.);BEL;FR;0;BE;fr;191;0;0;2;0;17990;;LNP
7913;Négociante;wholesale dealer (fem.);BEL;FR;0;BE;fr;192;0;0;2;0;41020;;LNP
7914;Négociante en houblon;wholesale dealer in hop (fem.);BEL;FR;0;BE;fr;193;0;0;2;1;41020;;LNP
7915;Négociante en toile;wholesale dealer in linen (fem.);BEL;FR;0;BE;fr;194;0;0;2;26;41020;;LNP
7916;Nettoyeuse de bonnets;bonnet cleaner;BEL;FR;0;BE;fr;195;0;0;1;0;56090;;LNP
7917;Nourrice;foster-mother;BEL;FR;0;BE;fr;196;0;0;1;0;54035;;LNP
7918;Ouvrière;worker (fem.);BEL;FR;0;BE;fr;197;0;0;2;0;99900;;LNP
7919;Ouvrière agricole;female agriculturist worker;BEL;FR;0;BE;fr;198;0;0;2;0;62105;;LNP
7920;Ouvrière corsetier;corset-maker (fem. worker);BEL;FR;0;BE;fr;199;32;0;2;0;79190;;LNP
7921;Ouvrière cuisinière;cook (fem. worker);BEL;FR;0;BE;fr;200;32;0;2;0;53100;;LNP
7922;Ouvrière fabrique;factory worker (fem.);BEL;FR;0;BE;fr;201;0;0;2;0;99930;;LNP
7923;Ouvrière jardinière;female garden worker;BEL;FR;0;BE;fr;202;32;0;2;0;61270;62700;LNP
7924;Ouvrière jardinière;female garden worker;BEL;FR;0;BE;fr;203;32;0;2;0;62700;61270;LNP
7925;Ouvrière lingère;linen-stitcher (fem. worker);BEL;FR;0;BE;fr;204;32;0;1;0;79590;;LNP
7926;Ouvrière magasin;shop-worker (fem.);BEL;FR;0;BE;fr;205;32;0;2;0;97145;;LNP
7927;Ouvrière tailleuse;female tailor (worker);BEL;FR;0;BE;fr;206;32;0;2;0;79100;;LNP
7928;Ouvrière tisserande;female weaver worker;BEL;FR;0;BE;fr;207;32;0;2;0;75400;;LNP
7929;Particulière;owner (fem.);BEL;FR;0;BE;fr;208;11;0;2;0;-1;;LNP
7930;Passementière;shoe-lace-maker (fem.);BEL;FR;0;BE;fr;209;0;0;2;0;75452;;LNP
7931;Piqueuse;stitcher;BEL;FR;0;BE;fr;210;0;0;1;0;79510;;LNP
7932;Piqueuse de bas;stocking-stitcher (fem.);BEL;FR;0;BE;fr;211;0;0;1;0;79590;;LNP
7933;Piqueuse de bottines;boot-stitcher (fem.);BEL;FR;0;BE;fr;212;0;0;1;0;80250;;LNP
7934;Piqueuse de chaussures;shoe-stitcher (fem.);BEL;FR;0;BE;fr;213;0;0;1;0;80250;;LNP
7935;Plafonneuse;plasterer (fem.);BEL;FR;0;BE;fr;214;0;0;2;0;95510;;LNP
7936;Plisseuse de coiffes;hat-lining-folder (fem.);BEL;FR;0;BE;fr;215;0;0;1;0;79390;;LNP
7937;Poissarde;fish seller (fem.);BEL;FR;0;BE;fr;216;0;0;1;21;41030;;LNP
7938;Poissonnière;fish preparetor (fem.);BEL;FR;0;BE;fr;217;0;0;2;0;77940;;LNP
7939;Polisseuse;polisher (fem.);BEL;FR;0;BE;fr;218;0;0;2;0;82020;83520, 83590, 88030, 89148;LNP
7940;Polisseuse;polisher (fem.);BEL;FR;0;BE;fr;219;0;0;2;0;83520;82020, 83590, 88030, 89148;LNP
7941;Polisseuse;polisher (fem.);BEL;FR;0;BE;fr;220;0;0;2;0;83590;82020, 83520, 88030, 89148;LNP
7942;Polisseuse;polisher (fem.);BEL;FR;0;BE;fr;221;0;0;2;0;88030;82020, 83520, 83590, 89148;LNP
7943;Polisseuse;polisher (fem.);BEL;FR;0;BE;fr;222;0;0;2;0;89148;82020, 83520, 83590, 88030;LNP
7944;Polisseuse de marbre;marble-polisher (fem.);BEL;FR;0;BE;fr;223;0;0;1;0;82020;;LNP
7945;Pontière;bridge guard (fem.);BEL;FR;0;BE;fr;224;0;0;1;0;58990;;LNP
7946;Poulailleuse;?;BEL;FR;0;BE;fr;225;0;0;1;0;62610;;LNP
7947;Professeur;teacher;BEL;FR;0;BE;fr;226;0;0;3;0;13030;;LNP
7948;Professeur à l'école moyenne;secondary school teacher;BEL;FR;0;BE;fr;227;0;0;3;0;13200;;LNP
7949;Professeur de chant;singing-master;BEL;FR;0;BE;fr;228;0;0;1;0;13190;13250;LNP
7950;Professeur de chant;singing-master;BEL;FR;0;BE;fr;229;0;0;1;0;13250;13190;LNP
7951;Professeur de piano;piano-teacher;BEL;FR;0;BE;fr;230;0;0;1;0;13190;13250;LNP
7952;Professeur de piano;piano-teacher;BEL;FR;0;BE;fr;231;0;0;1;0;13250;13190;LNP
7953;Propriétaire;proprietor (fem.);BEL;FR;0;BE;fr;232;11;0;3;0;-1;;LNP
7954;Propriétaire rentier;proprietor rentier (fem.);BEL;FR;0;BE;fr;233;11;21;2;0;-1;;LNP
7955;Rapiéceuse;repairer (fem.);BEL;FR;0;BE;fr;234;0;0;3;0;99999;;LNP
7956;Récureuse;cleaning woman;BEL;FR;0;BE;fr;235;0;0;1;0;55220;;LNP
7957;Régent d'école;secondary school teacher;BEL;FR;0;BE;fr;236;0;0;3;0;13200;;LNP
7958;Régente d'école;secondary school teacher (fem.);BEL;FR;0;BE;fr;237;0;0;2;0;13200;;LNP
7959;Rentière;rentier (vr.);BEL;FR;0;BE;fr;238;11;21;2;0;-1;;LNP
7960;Repasseuse;ironer;BEL;FR;0;BE;fr;239;0;0;1;0;56065;;LNP
7961;Retordeuse;twiner (fem.);BEL;FR;0;BE;fr;240;0;0;2;0;75240;;LNP
7962;Revendeuse;commissioner (fem.);BEL;FR;0;BE;fr;241;0;0;2;0;41030;;LNP
7963;Sage-femme;midwife;BEL;FR;0;BE;fr;242;0;0;1;0;7310;;LNP
7964;Sans profession (fém.);without occupation;BEL;FR;0;BE;fr;243;0;0;3;0;-2;;LNP
7965;Sellière;saddler;BEL;FR;0;BE;fr;244;0;0;2;0;80320;;LNP
7966;Séranceuse;flax-hackler;BEL;FR;0;BE;fr;245;0;0;1;0;75130;;LNP
7967;Servante;servant (fem.);BEL;FR;0;BE;fr;246;0;0;1;0;54010;;LNP
7968;Serveuse;waitress;BEL;FR;0;BE;fr;247;0;0;1;0;53210;;LNP
7969;Sous-institutrice communal;municipal underteacher;BEL;FR;0;BE;fr;248;33;0;2;0;13320;;LNP
7970;Tailleuse;female tailor;BEL;FR;0;BE;fr;249;0;0;2;0;79100;;LNP
7971;Tisserande;weaver (fem.);BEL;FR;0;BE;fr;250;0;0;2;0;75400;;LNP
7972;Tonnelière;intriguer (fem.);BEL;FR;0;BE;fr;251;0;0;2;0;81930;;LNP
7973;Tricoteuse;knitter;BEL;FR;0;BE;fr;252;0;0;1;0;75500;;LNP
7974;Vannière;basket-maker (fem.);BEL;FR;0;BE;fr;253;0;0;2;0;94220;;LNP
7975;Vendeuse de bière;beer seller (fem.);BEL;FR;0;BE;fr;254;0;0;1;24;41030;45125;LNP
7976;Vendeuse de bière;beer seller (fem.);BEL;FR;0;BE;fr;255;0;0;1;24;45125;41030;LNP
7977;Verdurière;vegetable seller (fem.);BEL;FR;0;BE;fr;256;0;0;1;1;41030;;LNP
7978;Voiturière;wagoner (fem.);BEL;FR;0;BE;fr;257;0;0;2;0;98620;;LNP
7979;Voyageuse de comerce;commercial traveller (fem.);BEL;FR;0;BE;fr;258;0;0;2;0;43220;;LNP
7980;Abatteur;feller;BEL;FR;0;BE;fr;259;0;0;1;0;77320;;LNP
7981;Acrobate;acrobate;BEL;FR;0;BE;fr;260;0;0;1;0;17540;;LNP
7982;Adjoint au tribunal;helper at the court;BEL;FR;0;BE;fr;261;0;0;1;0;39340;;LNP
7983;Adjudant;adjutant;BEL;FR;0;BE;fr;262;0;0;1;0;58330;;LNP
